Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.033,0.0,0.0,0.0,0.0
2,00:00:00.067,0.0,0.0,0.0,0.0
3,00:00:00.100,0.0,0.0,0.0,0.0
4,00:00:00.134,0.0,0.0,0.0,0.0
5,00:00:00.167,0.0,0.0,0.0,0.0
6,00:00:00.201,0.0,0.0,0.0,0.0
7,00:00:00.234,70.27749221183801,52.76775700934579,49.52219626168224,108.54252336448599
8,00:00:00.268,60.640122014537894,51.92348130841121,48.12725856697819,81.8696261682243
9,00:00:00.301,57.34064122533749,47.86557632398754,44.09283489096573,80.06351246105919
10,00:00:00.335,54.32740134994808,43.77133956386293,41.71947040498442,77.49139408099688
11,00:00:00.368,60.901778296988574,47.37496105919003,47.71701713395639,87.61335669781931
12,00:00:00.402,0.8089953271028038,0.9570093457943926,0.1147196261682243,1.3552570093457943
13,00:00:00.435,61.52596053997922,48.15541277258567,53.63193146417446,82.79053738317756
14,00:00:00.469,60.10502336448599,47.734034267912776,55.998481308411215,76.58255451713396
15,00:00:00.502,60.24658618899273,47.943185358255455,55.17091121495327,77.62566199376947
16,00:00:00.536,55.55771028037383,44.61666666666667,49.331853582554515,72.72461059190032
17,00:00:00.569,49.18792834890966,40.38785046728972,43.21456386292835,63.961370716510906
18,00:00:00.603,2.0484423676012464,1.641355140186916,0.21662772585669782,4.287344236760124
19,00:00:00.636,44.53385254413291,38.59096573208723,38.66211059190031,56.348481308411216
20,00:00:00.670,40.87085929387331,36.43290498442368,34.899532710280376,51.28014018691589
21,00:00:00.703,37.253050363447564,33.159735202492215,30.51413551401869,48.08528037383178
22,00:00:00.736,35.234787123572175,31.363629283489097,27.074532710280373,47.26619937694704
23,00:00:00.770,31.53953790238837,28.36394080996885,23.885669781931465,42.369003115264796
24,00:00:00.803,3.008553997923157,2.9557632398753895,0.2197429906542056,5.850155763239876
25,00:00:00.837,30.393834371754934,27.58243769470405,22.61993769470405,40.9791277258567
26,00:00:00.870,29.619587227414332,25.894119937694704,20.338317757009346,42.62632398753894
27,00:00:00.904,26.283761682242993,23.690732087227413,18.390809968847353,36.76974299065421
28,00:00:00.937,23.93014018691589,22.16865264797508,16.83271028037383,32.78905763239875
29,00:00:00.971,22.894366562824505,20.215342679127726,15.93582554517134,32.531931464174455
30,00:00:01.004,2.5927829698857736,2.4776479750778817,0.3605919003115265,4.940109034267913
31,00:00:01.038,22.209631360332295,19.17297507788162,15.790809968847352,31.665109034267914
